Model,CV_R2_Mean,CV_R2_Std,Test_R2,Test_RMSE,Test_MAE
MLP (Tuned),0.0,0.0,0.8664993772532759,0.3581384691537103,0.2814186669982926
MLP (Tuned),0.0,0.0,0.8271590200087593,0.4075,0.3194
